
year; month; day; hour; minute; second; latDirection; lonDirection; latitude; longitude; latDegree; lonDegree; depth; high; starID; sog; cog
2024; 10; 13; 9; 38; 5; E; N; 5001.959500; 1959.690100; 50.032661; 19.994835; 96; 197.69; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 10; E; N; 5001.959500; 1959.690100; 50.032661; 19.994833; 98; 197.69; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 14; E; N; 5001.959500; 1959.689900; 50.032661; 19.994833; 99; 197.59; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 18; E; N; 5001.959500; 1959.689900; 50.032661; 19.994833; 99; 197.59; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 22; E; N; 5001.959500; 1959.689900; 50.032661; 19.994833; 99; 197.59; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 26; E; N; 5001.959500; 1959.689900; 50.032661; 19.994831; 99; 197.50; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 30; E; N; 5001.959500; 1959.689800; 50.032661; 19.994831; 99; 197.59; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 34; E; N; 5001.959500; 1959.689800; 50.032661; 19.994831; 99; 197.50; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 38; E; N; 5001.959500; 1959.689900; 50.032661; 19.994831; 99; 197.50; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 42; E; N; 5001.959500; 1959.689900; 50.032661; 19.994833; 94; 197.40; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 46; E; N; 5001.959500; 1959.689900; 50.032661; 19.994833; 96; 197.40; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 50; E; N; 5001.959500; 1959.689900; 50.032661; 19.994833; 94; 197.40; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 55; E; N; 5001.959500; 1959.689900; 50.032661; 19.994831; 96; 197.40; 11; 0.00; 0.00
2024; 10; 13; 9; 38; 59; E; N; 5001.959500; 1959.689800; 50.032661; 19.994831; 96; 197.40; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 3; E; N; 5001.959500; 1959.689800; 50.032661; 19.994831; 95; 197.40; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 7; E; N; 5001.959500; 1959.689800; 50.032661; 19.994831; 96; 197.30; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 11; E; N; 5001.959500; 1959.689800; 50.032661; 19.994831; 98; 197.30; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 15; E; N; 5001.959500; 1959.689800; 50.032661; 19.994831; 96; 197.30; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 19; E; N; 5001.959500; 1959.689700; 50.032661; 19.994829; 94; 197.19; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 23; E; N; 5001.959500; 1959.689700; 50.032661; 19.994829; 99; 197.19; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 27; E; N; 5001.959500; 1959.689700; 50.032661; 19.994827; 94; 197.19; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 31; E; N; 5001.959500; 1959.689600; 50.032661; 19.994827; 94; 197.19; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 35; E; N; 5001.959500; 1959.689600; 50.032661; 19.994827; 98; 197.09; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 39; E; N; 5001.959500; 1959.689600; 50.032661; 19.994827; 98; 197.09; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 44; E; N; 5001.959500; 1959.689700; 50.032661; 19.994827; 96; 197.00; 11; 0.00; 0.00
2024; 10; 13; 9; 39; 48; E; N; 5001.959500; 1959.689700; 50.032661; 19.994827; 96; 197.00; 10; 0.00; 0.00
2024; 10; 13; 9; 39; 52; E; N; 5001.959500; 1959.689700; 50.032661; 19.994829; 94; 197.00; 10; 0.00; 0.00
2024; 10; 13; 9; 39; 56; E; N; 5001.959500; 1959.689700; 50.032661; 19.994829; 94; 197.00; 10; 0.00; 0.00
2024; 10; 13; 9; 40; 0; E; N; 5001.959500; 1959.689800; 50.032658; 19.994829; 99; 197.00; 10; 0.00; 0.00
2024; 10; 13; 9; 40; 4; E; N; 5001.959500; 1959.689800; 50.032658; 19.994829; 94; 197.00; 10; 0.00; 0.00
2024; 10; 13; 9; 40; 8; E; N; 5001.959500; 1959.689800; 50.032658; 19.994829; -1853; 197.00; 10; 0.00; 0.00
